episode,total_reward,steps,solved,avg_loss,epsilon
1,-3225.25,2500,0,0.0000,1.0000
2,-2918.00,2500,0,0.0000,1.0000
3,-3053.00,2500,0,0.0000,1.0000
4,-3011.00,2500,0,0.0000,1.0000
5,-2825.00,2500,0,0.0000,1.0000
6,-3123.00,2500,0,0.0000,1.0000
7,-3044.00,2500,0,0.0000,1.0000
8,-2830.25,2500,0,0.0000,1.0000
9,-2704.50,2500,0,0.0000,1.0000
10,-3286.25,2500,0,0.0000,1.0000
11,-2720.25,2500,0,0.0000,1.0000
12,-2927.25,2500,0,0.0000,1.0000
13,-3036.50,2500,0,0.0000,1.0000
14,-3001.25,2500,0,0.0000,1.0000
15,-3108.75,2500,0,0.0000,1.0000
16,-2858.00,2500,0,0.0000,1.0000
17,-2930.75,2500,0,0.0000,1.0000
18,-2898.50,2500,0,0.0000,1.0000
19,-3106.00,2500,0,0.0000,1.0000
20,-3012.25,2500,0,0.0000,1.0000
21,-2956.00,2500,0,0.0000,1.0000
22,-3152.50,2500,0,0.0000,1.0000
23,-3233.50,2500,0,0.0000,1.0000
24,-2946.75,2500,0,0.0000,1.0000
25,-3067.00,2500,0,0.0000,1.0000
26,-2894.50,2500,0,0.0000,1.0000
27,-3005.00,2500,0,0.0000,1.0000
28,-3254.75,2500,0,0.0000,1.0000
29,-2809.50,2500,0,0.0000,1.0000
30,-2950.75,2500,0,0.0000,1.0000
31,-3161.25,2500,0,0.0000,1.0000
32,-3121.75,2500,0,0.0000,1.0000
33,-3118.50,2500,0,0.0000,1.0000
34,-3124.75,2500,0,0.0000,1.0000
35,-2888.00,2500,0,0.0000,1.0000
36,-2973.00,2500,0,0.0000,1.0000
37,-3099.75,2500,0,0.0000,1.0000
38,-3347.50,2500,0,0.0000,1.0000
39,-3140.50,2500,0,0.0000,1.0000
40,-3219.50,2500,0,0.0000,1.0000
41,-2873.50,2500,0,0.0000,1.0000
42,-2706.00,2500,0,0.0000,1.0000
43,-2716.50,2500,0,0.0000,1.0000
44,-2899.00,2500,0,0.0000,1.0000
45,-3208.00,2500,0,0.0000,1.0000
46,-3219.50,2500,0,0.0000,1.0000
47,-2929.25,2500,0,0.0000,1.0000
48,-2777.50,2500,0,0.0000,1.0000
49,-3024.25,2500,0,0.0000,1.0000
50,-3032.75,2500,0,0.0000,1.0000
51,-2921.75,2500,0,0.0000,1.0000
52,-2928.75,2500,0,0.0000,1.0000
53,-2959.00,2500,0,0.0000,1.0000
54,-3248.25,2500,0,0.0000,1.0000
55,-2874.25,2500,0,0.0000,1.0000
56,-3058.50,2500,0,0.0000,1.0000
57,-3316.50,2500,0,0.0000,1.0000
58,-2695.75,2500,0,0.0000,1.0000
59,-3028.50,2500,0,0.0000,1.0000
60,-2926.50,2500,0,0.0000,1.0000
61,-2639.00,2500,0,0.0000,1.0000
62,-3077.00,2500,0,0.0000,1.0000
63,-3255.75,2500,0,0.0000,1.0000
64,-3232.50,2500,0,0.0000,1.0000
65,-3017.00,2500,0,0.0000,1.0000
66,-3036.00,2500,0,0.0000,1.0000
67,-3105.75,2500,0,0.0000,1.0000
68,-3172.75,2500,0,0.0000,1.0000
69,-3022.50,2500,0,0.0000,1.0000
70,-3225.50,2500,0,0.0000,1.0000
71,-2587.75,2500,0,0.0000,1.0000
72,-3176.50,2500,0,0.0000,1.0000
73,-3083.00,2500,0,0.0000,1.0000
74,-3015.75,2500,0,0.0000,1.0000
75,-3101.00,2500,0,0.0000,1.0000
76,-3292.25,2500,0,0.0000,1.0000
77,-3127.00,2500,0,0.0000,1.0000
78,-3073.75,2500,0,0.0000,1.0000
79,-3325.50,2500,0,0.0000,1.0000
80,-2834.75,2500,0,0.0000,1.0000
81,-3156.75,2500,0,0.0000,1.0000
82,-3100.50,2500,0,0.0000,1.0000
83,-2967.50,2500,0,0.0000,1.0000
84,-2917.00,2500,0,0.0000,1.0000
85,-3163.25,2500,0,0.0000,1.0000
86,-3000.25,2500,0,0.0000,1.0000
87,-3175.75,2500,0,0.0000,1.0000
88,-3249.00,2500,0,0.0000,1.0000
89,-3217.25,2500,0,0.0000,1.0000
90,-3038.50,2500,0,0.0000,1.0000
91,-3291.25,2500,0,0.0000,1.0000
92,-3019.00,2500,0,0.0000,1.0000
93,-2853.75,2500,0,0.0000,1.0000
94,-2989.25,2500,0,0.0000,1.0000
95,-3114.50,2500,0,0.0000,1.0000
96,-3042.00,2500,0,0.0000,1.0000
97,-3110.50,2500,0,0.0000,1.0000
98,-3010.75,2500,0,0.0000,1.0000
99,-3204.25,2500,0,0.0000,1.0000
100,-2883.25,2500,0,0.0000,1.0000
101,-3158.75,2500,0,0.0000,1.0000
102,-3052.50,2500,0,0.0000,1.0000
103,-2927.50,2500,0,0.0000,1.0000
104,-3031.75,2500,0,0.0000,1.0000
105,-2844.25,2500,0,0.0000,1.0000
106,-3053.50,2500,0,0.0000,1.0000
107,-3001.75,2500,0,0.0000,1.0000
108,-3226.00,2500,0,0.0000,1.0000
109,-3041.50,2500,0,0.0000,1.0000
110,-2900.25,2500,0,0.0000,1.0000
111,-3218.00,2500,0,0.0000,1.0000
112,-2997.75,2500,0,0.0000,1.0000
113,-3292.25,2500,0,0.0000,1.0000
114,-3015.25,2500,0,0.0000,1.0000
115,-3173.75,2500,0,0.0000,1.0000
116,-2995.75,2500,0,0.0000,1.0000
117,-3000.50,2500,0,0.0000,1.0000
118,-2824.25,2500,0,0.0000,1.0000
119,-3020.75,2500,0,0.0000,1.0000
120,-3173.75,2500,0,0.0000,1.0000
