episode,total_reward,steps,solved,ppo_update
1,46.52,156,1,1
2,46.52,156,1,1
3,46.52,156,1,1
4,46.52,156,1,2
5,46.52,156,1,2
6,46.52,156,1,2
7,46.52,156,1,3
8,46.52,156,1,3
9,46.52,156,1,3
10,46.52,156,1,4
11,46.52,156,1,4
12,46.52,156,1,4
13,46.52,156,1,5
14,46.52,156,1,5
15,46.52,156,1,5
16,46.52,156,1,6
17,46.52,156,1,6
18,46.52,156,1,6
19,46.52,156,1,7
20,46.52,156,1,7
21,46.52,156,1,7
22,46.52,156,1,8
23,46.52,156,1,8
24,46.52,156,1,8
25,46.43,158,1,9
26,46.52,156,1,9
27,46.52,156,1,9
28,46.52,156,1,10
29,46.52,156,1,10
30,46.52,156,1,10
31,46.52,156,1,11
32,46.52,156,1,11
33,46.52,156,1,11
34,46.52,156,1,12
35,46.52,156,1,12
36,46.52,156,1,12
37,46.52,156,1,13
38,46.52,156,1,13
39,46.52,156,1,13
40,46.52,156,1,14
41,46.52,156,1,14
42,46.52,156,1,14
43,46.52,156,1,15
44,46.52,156,1,15
45,46.52,156,1,15
46,46.52,156,1,16
47,46.52,156,1,16
48,46.52,156,1,16
49,46.52,156,1,17
50,46.52,156,1,17
51,46.52,156,1,17
52,46.52,156,1,18
53,46.52,156,1,18
54,46.46,158,1,18
55,46.52,156,1,19
56,46.52,156,1,19
57,46.52,156,1,19
58,46.52,156,1,20
59,46.52,156,1,20
60,46.52,156,1,20
