episode,total_reward,steps,solved,timestep,final_dist,min_dist,train_reward
1,-2399.00,4900,0,1538,34,34,-178.50
2,-2399.00,4900,0,1790,34,34,-29.50
3,-2399.00,4900,0,2742,34,34,-140.50
4,34.00,4900,0,7642,34,34,-500.50
5,14.00,4900,0,12542,54,54,-40.00
6,4.00,4900,0,17442,64,63,-504.00
7,8.00,4900,0,22342,60,60,-9.00
8,6.00,4900,0,27242,62,62,4.00
9,8.00,4900,0,32142,60,59,7.00
10,30.00,4900,0,37042,38,38,-132.00
11,38.00,4900,0,41942,30,28,34.50
12,10.00,4900,0,46842,58,57,33.50
13,10.00,4900,0,51742,58,58,10.00
14,30.00,4900,0,56642,38,38,30.00
15,22.00,4900,0,61542,46,46,-32.50
16,10.00,4900,0,66442,58,57,31.50
17,34.00,4900,0,71342,34,34,33.00
18,32.00,4900,0,76242,36,35,27.00
19,10.00,4900,0,81142,58,58,34.50
20,34.00,4900,0,86042,34,33,35.00
21,10.00,4900,0,90045,58,57,-162.00
22,24.00,37,0,94945,35,34,-93.50
23,38.00,4900,0,99845,30,30,-146.00
24,38.00,4900,0,99880,30,30,24.00
25,24.00,35,0,99915,35,34,24.00
26,38.00,4900,0,99950,30,30,24.00
27,36.00,4900,0,104850,32,32,36.00
28,36.00,4900,0,109750,32,32,34.50
29,34.00,4900,0,114650,34,33,34.00
30,36.00,4900,0,119550,32,32,35.00
31,28.00,4900,0,124450,40,40,37.50
32,-2399.00,4900,0,129350,34,34,40.00
33,-2399.00,4900,0,134250,34,34,38.50
34,36.00,4900,0,139150,32,32,-138.00
35,30.00,4900,0,144050,38,38,38.50
36,36.00,4900,0,148950,32,32,35.00
37,34.00,4900,0,153850,34,32,34.50
38,36.00,4900,0,158750,32,32,34.50
39,32.00,4900,0,163650,36,35,39.00
40,-2424.50,4900,0,168550,51,51,39.00
41,40.00,4900,0,173450,28,28,38.50
42,-2393.00,4900,0,178350,32,30,-25.00
43,32.00,4900,0,183250,36,35,23.00
44,40.00,4900,0,188150,28,28,38.50
45,40.00,4900,0,193050,28,28,38.50
46,40.00,4900,0,197950,28,28,36.50
47,40.00,4900,0,202850,28,28,39.00
48,40.00,4900,0,207750,28,28,36.50
49,40.00,4900,0,212650,28,28,38.00
50,40.00,4900,0,217550,28,28,38.00
51,40.00,4900,0,222450,28,28,37.50
52,36.00,4900,0,227350,32,32,35.00
53,-2408.00,4900,0,232250,40,40,38.00
54,40.00,4900,0,237150,28,28,-309.50
55,-2390.00,4900,0,242050,28,28,-25.00
56,40.00,4900,0,246950,28,28,24.00
57,40.00,4900,0,251850,28,28,38.00
58,36.00,4900,0,256750,32,32,37.00
59,34.00,4900,0,261650,34,33,18.50
60,34.00,4900,0,266550,34,34,34.50
61,40.00,4900,0,271450,28,28,33.50
62,-2444.00,4900,0,276040,64,64,-104.50
63,40.00,4900,0,280940,28,28,-59.00
64,40.00,4900,0,285840,28,28,18.00
65,40.00,4900,0,290740,28,28,40.00
66,32.00,4900,0,295640,36,36,28.00
67,32.00,4900,0,300540,36,35,32.00
68,40.00,4900,0,305440,28,28,34.50
69,40.00,4900,0,310340,28,28,38.50
70,40.00,4900,0,315240,28,28,40.00
71,32.00,4900,0,320140,36,36,38.50
72,40.00,4900,0,325040,28,28,38.50
73,40.00,4900,0,329940,28,28,40.00
74,40.00,4900,0,334840,28,28,40.00
75,40.00,4900,0,339740,28,28,40.00
76,40.00,4900,0,344640,28,28,40.00
77,40.00,4900,0,349540,28,28,38.50
78,40.00,4900,0,354440,28,28,37.50
79,40.00,4900,0,359340,28,28,37.00
80,40.00,4900,0,364240,28,28,38.50
81,40.00,4900,0,369140,28,28,40.00
82,40.00,4900,0,374040,28,28,35.50
83,40.00,4900,0,378940,28,28,38.50
84,40.00,4900,0,383840,28,28,40.00
85,40.00,4900,0,388740,28,28,38.50
86,40.00,4900,0,393640,28,28,38.50
87,40.00,4900,0,398540,28,28,36.50
88,40.00,4900,0,403440,28,28,40.00
89,40.00,4900,0,408340,28,28,40.00
90,40.00,4900,0,413240,28,28,39.00
91,40.00,4900,0,418140,28,28,40.00
92,40.00,4900,0,423040,28,28,38.00
93,40.00,4900,0,427940,28,28,40.00
94,32.00,4900,0,432840,36,36,34.00
95,40.00,4900,0,437740,28,28,37.00
96,40.00,4900,0,442640,28,28,35.50
97,26.00,4900,0,447540,42,41,-148.50
98,40.00,4900,0,452440,28,28,39.00
99,40.00,4900,0,457340,28,28,40.00
100,40.00,4900,0,462240,28,28,40.00
101,40.00,4900,0,467140,28,28,38.50
102,34.00,4900,0,472040,34,34,36.50
103,40.00,4900,0,476940,28,28,38.00
104,40.00,4900,0,481840,28,28,38.50
105,40.00,4900,0,486740,28,28,40.00
106,40.00,4900,0,491640,28,28,38.50
107,40.00,4900,0,496540,28,28,39.00
108,40.00,4900,0,501440,28,28,40.00
109,40.00,4900,0,501475,28,28,24.00
110,-2396.00,4900,0,506375,32,32,37.50
111,40.00,4900,0,511275,28,28,-228.50
112,32.00,4900,0,516175,36,35,26.50
113,40.00,4900,0,521075,28,28,38.50
114,40.00,4900,0,525975,28,28,38.00
115,34.00,4900,0,530875,34,34,33.50
116,38.00,4900,0,535775,30,30,-17.50
117,34.00,4900,0,540675,34,34,-25.00
118,32.00,4900,0,545575,36,36,24.00
119,-2408.00,4900,0,550475,40,40,35.50
120,34.00,4900,0,555375,34,34,-47.50
121,34.00,4900,0,560275,34,34,37.00
122,34.00,4900,0,565175,34,34,34.00
123,40.00,4900,0,570075,28,28,38.00
