episode,total_reward,steps,solved,epsilon
1,-352.00,2500,0,0.9990
2,-302.00,2500,0,0.9980
3,-317.50,2500,0,0.9970
4,-289.00,2500,0,0.9960
5,-253.50,2500,0,0.9950
6,-267.00,2500,0,0.9940
7,-274.50,2500,0,0.9930
8,-257.00,2500,0,0.9920
9,-292.50,2500,0,0.9910
10,-301.00,2500,0,0.9900
11,-213.00,2500,0,0.9891
12,-278.00,2500,0,0.9881
13,-285.00,2500,0,0.9871
14,-243.50,2500,0,0.9861
15,-261.50,2500,0,0.9851
16,-242.50,2500,0,0.9841
17,-280.50,2500,0,0.9831
18,-249.00,2500,0,0.9822
19,-237.00,2500,0,0.9812
20,-242.50,2500,0,0.9802
21,-281.00,2500,0,0.9792
22,-233.50,2500,0,0.9782
23,-285.50,2500,0,0.9773
24,-241.50,2500,0,0.9763
25,-248.50,2500,0,0.9753
26,-213.00,2500,0,0.9743
27,-220.50,2500,0,0.9733
28,-216.00,2500,0,0.9724
29,-236.50,2500,0,0.9714
30,-207.50,2500,0,0.9704
31,-241.00,2500,0,0.9695
32,-232.00,2500,0,0.9685
33,-218.00,2500,0,0.9675
34,-285.00,2500,0,0.9666
35,-263.50,2500,0,0.9656
36,-248.00,2500,0,0.9646
37,-228.50,2500,0,0.9637
38,-220.50,2500,0,0.9627
39,-230.50,2500,0,0.9617
40,-225.50,2500,0,0.9608
41,-243.00,2500,0,0.9598
42,-203.00,2500,0,0.9588
43,-200.50,2500,0,0.9579
44,-236.50,2500,0,0.9569
45,-215.00,2500,0,0.9560
46,-221.50,2500,0,0.9550
47,-209.50,2500,0,0.9541
48,-221.50,2500,0,0.9531
49,-219.50,2500,0,0.9522
50,-254.50,2500,0,0.9512
51,-237.00,2500,0,0.9503
52,-202.00,2500,0,0.9493
53,-237.50,2500,0,0.9484
54,-227.00,2500,0,0.9474
55,-236.00,2500,0,0.9465
56,-226.00,2500,0,0.9455
57,-227.50,2500,0,0.9446
58,-173.50,2500,0,0.9436
59,-207.00,2500,0,0.9427
60,-189.50,2500,0,0.9417
61,-226.50,2500,0,0.9408
62,-214.00,2500,0,0.9399
63,-194.00,2500,0,0.9389
64,-205.50,2500,0,0.9380
65,-238.00,2500,0,0.9370
66,-210.00,2500,0,0.9361
67,-198.00,2500,0,0.9352
68,-192.50,2500,0,0.9342
69,-192.00,2500,0,0.9333
70,-199.00,2500,0,0.9324
71,-188.50,2500,0,0.9314
72,-196.00,2500,0,0.9305
73,-208.50,2500,0,0.9296
74,-185.50,2500,0,0.9286
75,-203.00,2500,0,0.9277
76,-195.50,2500,0,0.9268
77,-176.50,2500,0,0.9259
78,-182.50,2500,0,0.9249
79,-209.50,2500,0,0.9240
80,-209.50,2500,0,0.9231
81,-182.00,2500,0,0.9222
82,-215.50,2500,0,0.9212
83,-207.50,2500,0,0.9203
84,-174.00,2500,0,0.9194
85,-191.50,2500,0,0.9185
86,-188.00,2500,0,0.9176
87,-209.00,2500,0,0.9166
88,-195.50,2500,0,0.9157
89,-181.00,2500,0,0.9148
90,-180.00,2500,0,0.9139
91,-185.50,2500,0,0.9130
92,-148.50,2500,0,0.9121
93,-181.00,2500,0,0.9112
94,-174.00,2500,0,0.9102
95,-196.00,2500,0,0.9093
96,-168.50,2500,0,0.9084
97,-199.00,2500,0,0.9075
98,-183.50,2500,0,0.9066
99,-202.50,2500,0,0.9057
100,-180.00,2500,0,0.9048
101,-175.50,2500,0,0.9039
102,-185.00,2500,0,0.9030
103,-207.50,2500,0,0.9021
104,-194.00,2500,0,0.9012
105,-174.00,2500,0,0.9003
106,-164.00,2500,0,0.8994
107,-176.50,2500,0,0.8985
108,-181.00,2500,0,0.8976
109,-163.00,2500,0,0.8967
110,-162.50,2500,0,0.8958
111,-201.50,2500,0,0.8949
112,-178.00,2500,0,0.8940
113,-193.00,2500,0,0.8931
114,-190.00,2500,0,0.8922
115,-170.50,2500,0,0.8913
116,-174.50,2500,0,0.8904
117,-144.50,2500,0,0.8895
118,-161.00,2500,0,0.8886
119,-173.00,2500,0,0.8878
120,-176.50,2500,0,0.8869
121,-157.50,2500,0,0.8860
122,-193.50,2500,0,0.8851
123,-195.50,2500,0,0.8842
124,-189.00,2500,0,0.8833
125,-182.00,2500,0,0.8824
126,-176.00,2500,0,0.8816
127,-162.00,2500,0,0.8807
128,-199.50,2500,0,0.8798
129,-170.50,2500,0,0.8789
130,-154.00,2500,0,0.8780
131,-181.50,2500,0,0.8772
132,-178.50,2500,0,0.8763
133,-160.50,2500,0,0.8754
134,-194.50,2500,0,0.8745
135,-148.00,2500,0,0.8737
136,-169.50,2500,0,0.8728
137,-168.50,2500,0,0.8719
138,-147.50,2500,0,0.8710
139,-154.00,2500,0,0.8702
140,-167.00,2500,0,0.8693
141,-184.50,2500,0,0.8684
142,-180.00,2500,0,0.8676
143,-157.00,2500,0,0.8667
144,-159.00,2500,0,0.8658
145,-135.50,2500,0,0.8650
146,-153.00,2500,0,0.8641
147,-133.00,2500,0,0.8632
148,-147.50,2500,0,0.8624
149,-151.50,2500,0,0.8615
150,-159.00,2500,0,0.8606
151,-163.00,2500,0,0.8598
152,-135.00,2500,0,0.8589
153,-160.00,2500,0,0.8581
154,-149.00,2500,0,0.8572
155,-132.50,2500,0,0.8563
156,-167.50,2500,0,0.8555
157,-159.00,2500,0,0.8546
158,-165.00,2500,0,0.8538
159,-147.50,2500,0,0.8529
160,-168.50,2500,0,0.8521
161,-142.50,2500,0,0.8512
162,-159.00,2500,0,0.8504
163,-157.50,2500,0,0.8495
164,-161.50,2500,0,0.8487
165,-136.50,2500,0,0.8478
166,-148.00,2500,0,0.8470
167,-151.00,2500,0,0.8461
168,-137.50,2500,0,0.8453
169,-161.00,2500,0,0.8444
170,-143.00,2500,0,0.8436
171,-145.50,2500,0,0.8427
172,-155.00,2500,0,0.8419
173,-153.00,2500,0,0.8411
174,-153.50,2500,0,0.8402
175,-155.50,2500,0,0.8394
176,-169.00,2500,0,0.8385
177,-153.00,2500,0,0.8377
178,-133.00,2500,0,0.8369
179,-130.00,2500,0,0.8360
180,-139.50,2500,0,0.8352
181,-147.00,2500,0,0.8344
182,-133.00,2500,0,0.8335
183,-155.50,2500,0,0.8327
184,-153.00,2500,0,0.8319
185,-141.00,2500,0,0.8310
186,-129.00,2500,0,0.8302
187,-141.00,2500,0,0.8294
188,-134.00,2500,0,0.8285
189,-144.50,2500,0,0.8277
190,-149.00,2500,0,0.8269
191,-156.00,2500,0,0.8261
192,-137.00,2500,0,0.8252
193,-126.50,2500,0,0.8244
194,-129.50,2500,0,0.8236
195,-121.50,2500,0,0.8228
196,-159.00,2500,0,0.8219
197,-154.50,2500,0,0.8211
198,-136.50,2500,0,0.8203
199,-149.00,2500,0,0.8195
200,-134.00,2500,0,0.8186
201,-119.50,2500,0,0.8178
202,-115.50,2500,0,0.8170
203,-133.00,2500,0,0.8162
204,-132.50,2500,0,0.8154
205,-125.50,2500,0,0.8146
206,-143.50,2500,0,0.8137
207,-146.00,2500,0,0.8129
208,-129.50,2500,0,0.8121
209,-121.00,2500,0,0.8113
210,-121.50,2500,0,0.8105
211,-113.00,2500,0,0.8097
212,-137.50,2500,0,0.8089
213,-136.00,2500,0,0.8081
214,-114.50,2500,0,0.8073
215,-123.50,2500,0,0.8065
216,-154.50,2500,0,0.8056
217,-128.00,2500,0,0.8048
218,-116.00,2500,0,0.8040
219,-129.50,2500,0,0.8032
220,-127.50,2500,0,0.8024
221,-118.50,2500,0,0.8016
222,-132.00,2500,0,0.8008
223,-118.50,2500,0,0.8000
224,-118.50,2500,0,0.7992
225,-129.00,2500,0,0.7984
